# MCMC Posterior Means:
Amplitude: 0.3132
Mean: 5223.7810
Sigma: 11.1974
Polynomial Coefficients: [-3.6741208086082407e-09, 5.856644969783767e-05, -0.31108811214479404, 550.8040616507201]
Chi2: 9.5275e+01
Chi2_nu: 4.0031e-01

# Wavelength  TotalFit  Gaussian  Continuum
5094.063795  0.194717  0.000000  0.194717
5096.007414  0.193890  0.000000  0.193890
5097.951033  0.193081  0.000000  0.193081
5099.894652  0.192289  0.000000  0.192289
5101.838271  0.191516  0.000000  0.191516
5103.781890  0.190760  0.000000  0.190760
5105.725509  0.190022  0.000000  0.190022
5107.669128  0.189301  0.000000  0.189301
5109.612747  0.188597  0.000000  0.188597
5111.556366  0.187910  0.000000  0.187910
5113.499985  0.187240  0.000000  0.187240
5115.443604  0.186587  0.000000  0.186587
5117.387223  0.185950  0.000000  0.185950
5119.330842  0.185329  0.000000  0.185329
5121.274461  0.184725  0.000000  0.184725
5123.218080  0.184136  0.000000  0.184136
5125.161699  0.183563  0.000000  0.183563
5127.105318  0.183007  0.000000  0.183007
5129.048937  0.182465  0.000000  0.182465
5130.992556  0.181939  0.000000  0.181939
5132.936175  0.181428  0.000000  0.181428
5134.879794  0.180932  0.000000  0.180932
5136.823413  0.180451  0.000000  0.180451
5138.767032  0.179985  0.000000  0.179985
5140.710651  0.179533  0.000000  0.179533
5142.654270  0.179096  0.000000  0.179096
5144.597889  0.178673  0.000000  0.178673
5146.541508  0.178264  0.000000  0.178264
5148.485127  0.177869  0.000000  0.177869
5150.428746  0.177487  0.000000  0.177487
5152.372366  0.177119  0.000000  0.177119
5154.315985  0.176765  0.000000  0.176765
5156.259604  0.176424  0.000000  0.176424
5158.203223  0.176096  0.000000  0.176096
5160.146842  0.175780  0.000000  0.175780
5162.090461  0.175478  0.000000  0.175478
5164.034080  0.175188  0.000000  0.175188
5165.977699  0.174911  0.000001  0.174911
5167.921318  0.174647  0.000001  0.174646
5169.864937  0.174396  0.000003  0.174393
5171.808556  0.174158  0.000007  0.174152
5173.752175  0.173937  0.000014  0.173922
5175.695794  0.173736  0.000031  0.173705
5177.639413  0.173563  0.000064  0.173499
5179.583032  0.173433  0.000130  0.173304
5181.526651  0.173373  0.000253  0.173120
5183.470270  0.173428  0.000480  0.172947
5185.413889  0.173669  0.000884  0.172786
5187.357508  0.174212  0.001578  0.172634
5189.301127  0.175228  0.002734  0.172494
5191.244746  0.176959  0.004596  0.172363
5193.188365  0.179740  0.007497  0.172243
5195.131984  0.183999  0.011866  0.172133
5197.075603  0.190256  0.018224  0.172032
5199.019222  0.199099  0.027157  0.171942
5200.962841  0.211129  0.039269  0.171861
5202.906460  0.226885  0.055096  0.171789
5204.850079  0.246735  0.075009  0.171726
5206.793698  0.270760  0.099087  0.171673
5208.737318  0.298638  0.127009  0.171628
5210.680937  0.329561  0.157969  0.171592
5212.624556  0.362208  0.190643  0.171565
5214.568175  0.394794  0.223248  0.171546
5216.511794  0.425204  0.253669  0.171535
5218.455413  0.451214  0.279681  0.171533
5220.399032  0.470746  0.299208  0.171538
5222.342651  0.482149  0.310599  0.171551
5224.286270  0.484424  0.312853  0.171571
5226.229889  0.477370  0.305771  0.171599
5228.173508  0.461614  0.289979  0.171635
5230.117127  0.438518  0.266841  0.171677
5232.060746  0.409988  0.238261  0.171726
5234.004365  0.378211  0.206428  0.171782
5235.947984  0.345385  0.173540  0.171845
5237.891603  0.313476  0.141562  0.171914
5239.835222  0.284038  0.112049  0.171990
5241.778841  0.258128  0.086057  0.172071
5243.722460  0.236291  0.064132  0.172159
5245.666079  0.218627  0.046375  0.172252
5247.609698  0.204890  0.032539  0.172351
5249.553317  0.194609  0.022153  0.172455
5251.496936  0.187200  0.014635  0.172565
5253.440555  0.182061  0.009381  0.172680
5255.384174  0.178635  0.005835  0.172800
5257.327793  0.176446  0.003522  0.172925
5259.271412  0.175116  0.002062  0.173054
5261.215031  0.174360  0.001172  0.173188
5263.158650  0.173972  0.000646  0.173326
5265.102269  0.173814  0.000346  0.173469
5267.045889  0.173795  0.000179  0.173615
5268.989508  0.173856  0.000090  0.173766
5270.933127  0.173964  0.000044  0.173920
5272.876746  0.174098  0.000021  0.174077
5274.820365  0.174248  0.000010  0.174238
5276.763984  0.174407  0.000004  0.174402
5278.707603  0.174571  0.000002  0.174570
5280.651222  0.174740  0.000001  0.174740
5282.594841  0.174913  0.000000  0.174913
5284.538460  0.175088  0.000000  0.175088
5286.482079  0.175266  0.000000  0.175266
5288.425698  0.175446  0.000000  0.175446
5290.369317  0.175628  0.000000  0.175628
5292.312936  0.175812  0.000000  0.175812
5294.256555  0.175998  0.000000  0.175998
5296.200174  0.176185  0.000000  0.176185
5298.143793  0.176374  0.000000  0.176374
5300.087412  0.176564  0.000000  0.176564
5302.031031  0.176755  0.000000  0.176755
5303.974650  0.176948  0.000000  0.176948
5305.918269  0.177141  0.000000  0.177141
5307.861888  0.177334  0.000000  0.177334
5309.805507  0.177528  0.000000  0.177528
5311.749126  0.177723  0.000000  0.177723
5313.692745  0.177917  0.000000  0.177917
5315.636364  0.178112  0.000000  0.178112
5317.579983  0.178306  0.000000  0.178306
5319.523602  0.178500  0.000000  0.178500
5321.467221  0.178693  0.000000  0.178693
5323.410841  0.178886  0.000000  0.178886
